0.5 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.501 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.502 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.503 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.504 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.505 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.506 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.507 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.508 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.509 No. of Outliers: 103, Clusters : 1, Silhoutte -2
0.51 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.511 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.512 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.513 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.514 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.515 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.516 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.517 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.518 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.519 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.52 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.521 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.522 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.523 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.524 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.525 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.526 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.527 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.528 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.529 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.53 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.531 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.532 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.533 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.534 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.535 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.536 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.537 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.538 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.539 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.54 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.541 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.542 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.543 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.544 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.545 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.546 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.547 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.548 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.549 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.55 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.551 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.552 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.553 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.554 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.555 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.556 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.557 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.558 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.559 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.56 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.561 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.562 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.563 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.564 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.565 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.566 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.567 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.568 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.569 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.57 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.571 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.572 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.573 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.574 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.575 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.576 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.577 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.578 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.579 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.58 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.581 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.582 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.583 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.584 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.585 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.586 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.587 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.588 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.589 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.59 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.591 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.592 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.593 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.594 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.595 No. of Outliers: 100, Clusters : 2, Silhoutte -0.1736000031232834
0.596 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.597 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.598 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.599 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.6 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.601 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.602 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.603 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.604 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.605 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.606 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.607 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.608 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.609 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.61 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.611 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.612 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.613 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.614 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.615 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.616 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.617 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.618 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.619 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.62 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.621 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.622 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.623 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.624 No. of Outliers: 99, Clusters : 2, Silhoutte -0.16419999301433563
0.625 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.626 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.627 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.628 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.629 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.63 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.631 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.632 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.633 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.634 No. of Outliers: 96, Clusters : 3, Silhoutte -0.1664000004529953
0.635 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.636 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.637 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.638 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.639 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.64 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.641 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.642 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.643 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.644 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.645 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.646 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.647 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.648 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.649 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.65 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.651 No. of Outliers: 95, Clusters : 3, Silhoutte -0.15129999816417694
0.652 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.653 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.654 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.655 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.656 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.657 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.658 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.659 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.66 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.661 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.662 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.663 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.664 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
0.665 No. of Outliers: 94, Clusters : 3, Silhoutte -0.1445000022649765
