0.5 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.586 No. of Outliers: 95, Clusters : 4, Silhoutte -0.12399999797344208
0.587 No. of Outliers: 95, Clusters : 4, Silhoutte -0.12399999797344208
0.588 No. of Outliers: 93, Clusters : 4, Silhoutte -0.10130000114440918
0.589 No. of Outliers: 93, Clusters : 4, Silhoutte -0.10130000114440918
0.59 No. of Outliers: 93, Clusters : 4, Silhoutte -0.10130000114440918
0.591 No. of Outliers: 93, Clusters : 4, Silhoutte -0.10130000114440918
0.592 No. of Outliers: 93, Clusters : 4, Silhoutte -0.10130000114440918
0.593 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.594 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.595 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.596 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.597 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.598 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.599 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.6 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.601 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.602 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.603 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.604 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.605 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.606 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.607 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.608 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.609 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.61 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.611 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.612 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.613 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.614 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.615 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.616 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.617 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.618 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.619 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.62 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.621 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.622 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.623 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.624 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.625 No. of Outliers: 92, Clusters : 4, Silhoutte -0.08959999680519104
0.626 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.627 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.628 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.629 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.63 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.631 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.632 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.633 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.634 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.635 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.636 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.637 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.638 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.639 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.64 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.641 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.642 No. of Outliers: 91, Clusters : 4, Silhoutte -0.08139999955892563
0.643 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.644 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.645 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.646 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.647 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.648 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.649 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.65 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.651 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.652 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.653 No. of Outliers: 90, Clusters : 4, Silhoutte -0.07169999927282333
0.654 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.655 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.656 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.657 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.658 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.659 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.66 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.661 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.662 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.663 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.664 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.665 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.666 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.667 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.668 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.669 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.67 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.671 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.672 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.673 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.674 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.675 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.676 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.677 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.678 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.679 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.68 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.681 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.682 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.683 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.684 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.685 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.686 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.687 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.688 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.689 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.69 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.691 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.692 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.693 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.694 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.695 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.696 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.697 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.698 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.699 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.7 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.701 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.702 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.703 No. of Outliers: 89, Clusters : 4, Silhoutte -0.06549999862909317
0.704 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.705 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.706 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.707 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
0.708 No. of Outliers: 88, Clusters : 4, Silhoutte -0.056299999356269836
